gamma_n(1200)=0
 t= 13.6,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 13.6,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 13.6,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 13.6,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 13.6,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 13.6,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 13.6,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 13.6,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 0
 t= 14.4,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 14.4,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 14.4,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 14.4,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 14.4,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 14.4,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 14.4,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 14.4,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 14.4,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 14.4,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 0
 t= 15.2,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 15.2,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 15.2,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 15.2,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 15.2,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 15.2,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 15.2,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 15.2,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 15.2,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 15.2,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 0
 t= 16,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 16,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 16,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 16,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 16,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 16,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 16,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 16,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 16,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 16,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 0
 t= 16.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 16.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 16.8,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 16.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 16.8,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 16.8,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 16.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 16.8,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 16.8,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 16.8,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 0
 t= 17.6,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 17.6,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
