       4.8            0.544733,           0.0489954           0.0454755
       4.8            0.352067,           0.0434531           0.0607739
       5.6                   0,                   1                   0
       5.6                   0,                   1                   0
       5.6                   0,           0.0557208                   0
       5.6                   0,                   1                   0
       5.6                   0,           0.0557208                   0
       5.6           0.0106667,           0.0489954         0.000522618
       5.6                   0,                   1         0.000522618
       5.6          0.00106667,           0.0557208         0.000582053
       5.6            0.154733,           0.0489954          0.00816328
       5.6            0.592733,           0.0434531           0.0339194
       6.4                   0,                   1                   0
       6.4                   0,                   1                   0
       6.4                   0,           0.0557208                   0
       6.4                   0,                   1                   0
       6.4                   0,           0.0557208                   0
       6.4                   0,           0.0489954                   0
       6.4                   0,                   1                   0
       6.4                   0,           0.0557208                   0
       6.4              0.0054,           0.0489954         0.000264575
       6.4            0.246067,           0.0434531           0.0109569
       7.2                   0,                   1                   0
       7.2                   0,                   1                   0
       7.2                   0,           0.0557208                   0
       7.2                   0,                   1                   0
       7.2                   0,           0.0557208                   0
       7.2                   0,           0.0489954                   0
       7.2                   0,                   1                   0
       7.2                   0,           0.0557208                   0
       7.2                   0,           0.0489954                   0
       7.2           0.0170667,           0.0434531           0.0007416
         8                   0,                   1                   0
         8                   0,                   1                   0
         8                   0,           0.0557208                   0
         8                   0,                   1                   0
         8                   0,           0.0557208                   0
         8                   0,           0.0489954                   0
         8                   0,                   1                   0
         8                   0,           0.0557208                   0
         8                   0,           0.0489954                   0
         8                   0,           0.0434531                   0
       8.8                   0,                   1                   0
       8.8                   0,                   1                   0
       8.8                   0,           0.0557208                   0
       8.8                   0,                   1                   0
       8.8                   0,           0.0557208                   0
       8.8                   0,           0.0489954                   0
       8.8                   0,                   1                   0
       8.8                   0,           0.0557208                   0
       8.8                   0,           0.0489954                   0
       8.8                   0,           0.0434531                   0
       9.6                   0,                   1                   0
       9.6                   0,                   1                   0
       9.6                   0,           0.0557208                   0
       9.6                   0,                   1                   0
       9.6                   0,           0.0557208                   0
       9.6                   0,           0.0489954                   0
       9.6                   0,                   1                   0
       9.6                   0,           0.0557208                   0
       9.6                   0,           0.0489954                   0
       9.6                   0,           0.0434531                   0
      10.4                   0,                   1                   0
      10.4                   0,                   1                   0
      10.4                   0,           0.0557208                   0
      10.4                   0,                   1                   0
      10.4                   0,           0.0557208                   0
      10.4                   0,           0.0489954                   0
      10.4                   0,                   1                   0
      10.4                   0,           0.0557208                   0
      10.4                   0,           0.0489954                   0
      10.4                   0,           0.0434531                   0
      11.2                   0,                   1                   0
      11.2                   0,                   1                   0
      11.2                   0,           0.0557208                   0
      11.2                   0,                   1                   0
      11.2                   0,           0.0557208                   0
      11.2                   0,           0.0489954                   0
      11.2                   0,                   1                   0
      11.2                   0,           0.0557208                   0
      11.2                   0,           0.0489954                   0
      11.2                   0,           0.0434531                   0
