gamma_n(1200)=0
 t= 4.8,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0.00133333 h_n= 0.000406059
 t= 4.8,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0.282667 h_n= 0.0383676
 t= 4.8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=6.66667e-05 h_n= 0.0384342
 t= 4.8,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0.0860667 h_n= 0.0646453
 t= 4.8,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0.544733 h_n= 0.137802
 t= 4.8,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0.352067 h_n= 0.16363
 t= 5.6,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 5.6,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 5.6,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 5.6,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 5.6,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 5.6,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0.0106667 h_n= 0.00143251
 t= 5.6,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0.00143251
 t= 5.6,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0.00106667 h_n= 0.00175736
 t= 5.6,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0.154733 h_n= 0.0225377
 t= 5.6,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0.592733 h_n= 0.0660215
 t= 6.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 6.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 6.4,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 6.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 6.4,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
